,id,imdb_id,budget,popularity,original_language,release_date,vote_average,vote_count
0,862,tt0114709,30000000,21.946943,en,1995-10-30,7.7,5415.0
1,8844,tt0113497,65000000,17.015539,en,1995-12-15,6.9,2413.0
2,15602,tt0113228,0,11.7129,en,1995-12-22,6.5,92.0
3,31357,tt0114885,16000000,3.859495,en,1995-12-22,6.1,34.0
4,11862,tt0113041,0,8.387519000000001,en,1995-02-10,5.7,173.0
5,949,tt0113277,60000000,17.924927,en,1995-12-15,7.7,1886.0
6,11860,tt0114319,58000000,6.677277,en,1995-12-15,6.2,141.0
7,45325,tt0112302,0,2.5611610000000002,en,1995-12-22,5.4,45.0
8,9091,tt0114576,35000000,5.23158,en,1995-12-22,5.5,174.0
9,710,tt0113189,58000000,14.686035999999998,en,1995-11-16,6.6,1194.0
10,9087,tt0112346,62000000,6.318445,en,1995-11-17,6.5,199.0
11,12110,tt0112896,0,5.430331,en,1995-12-22,5.7,210.0
12,21032,tt0112453,0,12.140733,en,1995-12-22,7.1,423.0
13,10858,tt0113987,44000000,5.092,en,1995-12-22,7.1,72.0
14,1408,tt0112760,98000000,7.284477000000001,en,1995-12-22,5.7,137.0
15,524,tt0112641,52000000,10.137389,en,1995-11-22,7.8,1343.0
16,4584,tt0114388,16500000,10.673167,en,1995-12-13,7.2,364.0
17,5,tt0113101,4000000,9.026586,en,1995-12-09,6.5,539.0
18,9273,tt0112281,30000000,8.205447999999999,en,1995-11-10,6.1,1128.0
19,11517,tt0113845,60000000,7.337905999999999,en,1995-11-21,5.4,224.0
20,8012,tt0113161,30250000,12.669608,en,1995-10-20,6.4,305.0
21,1710,tt0112722,0,10.701801,en,1995-10-27,6.5,199.0
22,9691,tt0112401,50000000,11.065939,en,1995-10-06,6.0,394.0
23,12665,tt0114168,0,12.133094,en,1995-10-27,6.3,143.0
24,451,tt0113627,3600000,10.332025,en,1995-10-27,7.1,365.0
25,16420,tt0114057,0,1.8458990000000002,en,1995-12-15,7.0,33.0
26,9263,tt0114011,12000000,8.681325,en,1995-10-20,6.6,91.0
27,17015,tt0114117,0,2.228434,en,1995-09-27,7.4,36.0
28,902,tt0112682,18000000,9.822422999999999,fr,1995-05-16,7.6,308.0
29,37557,tt0115012,0,1.1009149999999999,zh,1995-04-30,6.5,17.0
30,9909,tt0112792,0,9.481338000000001,en,1995-08-11,6.4,249.0
31,63,tt0114746,29500000,12.297305,en,1995-12-29,7.4,2470.0
32,78802,tt0114952,0,0.745542,fr,1996-09-18,6.8,4.0
33,9598,tt0112431,30000000,14.404764000000002,en,1995-07-18,6.0,756.0
34,47018,tt0112637,0,1.4933610000000002,en,1995-11-08,6.4,16.0
35,687,tt0112818,11000000,6.891317,en,1995-12-29,7.3,350.0
36,139405,tt0112286,0,0.114469,en,1995-10-20,3.5,2.0
37,33689,tt0113442,0,7.777735000000001,en,1995-11-17,6.1,149.0
38,9603,tt0112697,12000000,9.882383,en,1995-07-19,6.9,828.0
39,34615,tt0112749,0,0.894647,en,1995-12-15,6.7,13.0
40,31174,tt0114279,0,4.561387,en,1995-12-29,6.9,50.0
41,11443,tt0112819,10000000,9.87957,en,1995-10-06,6.6,80.0
42,35196,tt0114272,19000000,10.979269,en,1995-12-29,6.3,30.0
43,9312,tt0113855,18000000,10.870138,en,1995-08-18,5.4,452.0
44,577,tt0114681,20000000,10.448481,en,1995-05-20,6.7,177.0
45,11861,tt0113347,10000000,4.485958,en,1995-10-06,6.5,38.0
46,807,tt0114369,33000000,18.45743,en,1995-09-22,8.1,5915.0
47,10530,tt0114148,55000000,13.280069000000001,en,1995-06-14,6.7,1509.0
48,8391,tt0114916,0,3.302524,en,1995-05-05,5.9,10.0
49,629,tt0114814,6000000,16.302466,en,1995-07-19,8.1,3334.0
50,117164,tt0109950,0,0.595949,en,1994-11-22,6.3,3.0
51,11448,tt0113819,15000000,15.899134,en,1995-09-13,6.7,145.0
52,49133,tt0110299,0,1.361286,it,1994-01-01,7.7,11.0
53,26441,tt0112499,0,5.9827639999999995,en,1995-09-29,5.2,41.0
54,97406,tt0113158,0,4.093443,en,1995-05-19,6.1,15.0
55,124057,tt0113541,0,0.307075,en,1997-07-08,3.0,1.0
56,9089,tt0113321,0,8.416802,en,1995-11-02,6.3,39.0
57,11010,tt0110877,0,10.168436999999999,it,1994-09-22,7.6,181.0
58,99040,tt0112714,0,0.12078900000000001,fr,1995-09-29,6.5,2.0
59,11359,tt0113419,45000000,10.673296,en,1995-07-14,5.9,136.0
60,17182,tt0116260,20000000,4.733526,en,1996-01-12,5.8,65.0
61,2054,tt0113862,0,7.137117,en,1995-12-29,6.9,115.0
62,10607,tt0116126,0,11.700115,en,1996-01-12,6.2,192.0
63,19760,tt0118002,0,2.174487,en,1996-01-12,4.5,14.0
64,9536,tt0115683,15000000,6.387469,en,1996-01-12,4.4,110.0
65,11525,tt0116839,0,2.49535,en,1996-01-12,2.8,32.0
66,40628,tt0114753,0,4.046208,en,1995-10-22,5.4,11.0
67,4482,tt0113149,0,2.518051,fr,1995-02-08,6.0,43.0
68,10634,tt0113118,3500000,14.56965,en,1995-04-26,7.0,513.0
69,755,tt0116367,19000000,15.339153,en,1996-01-19,6.9,1644.0
70,11859,tt0113010,50000000,5.912223,en,1995-11-03,4.1,54.0
71,28387,tt0113537,0,3.3672760000000004,en,1995-10-06,7.0,36.0
72,48750,tt0113828,0,1.4794459999999998,fr,1995-03-22,6.6,8.0
73,20927,tt0115644,0,10.412194,en,1996-01-26,5.1,27.0
74,36929,tt0115676,15000000,2.936443,en,1996-01-26,3.9,16.0
75,9102,tt0114367,20000000,12.758848,en,1995-09-08,6.1,154.0
76,124626,tt0113973,0,0.133893,en,1995-02-18,7.3,3.0
77,27526,tt0112744,0,5.756462,en,1995-11-15,6.1,74.0
78,9623,tt0116731,44000000,6.010579,en,1996-02-02,5.5,91.0
79,46785,tt0112445,0,1.196256,fa,1995-01-01,7.5,20.0
80,400,tt0114660,8000000,4.486179,en,1995-12-01,6.7,87.0
81,880,tt0112379,900000,2.030174,nl,1995-09-12,7.2,26.0
82,146599,tt0114039,0,0.252287,en,1996-01-26,4.5,2.0
83,188588,tt0113612,0,0.531159,en,1995-11-22,0.0,0.0
84,8447,tt0112365,0,2.1516599999999997,en,1995-09-10,6.3,17.0
85,10534,tt0118158,38000000,9.568603999999999,en,1996-02-02,6.3,86.0
86,17414,tt0116151,16000000,4.814825,en,1996-01-12,5.1,59.0
87,13997,tt0115697,0,8.963037,en,1996-02-01,6.0,124.0
88,2086,tt0113972,8169363,6.848591000000001,en,1995-11-22,6.1,190.0
89,61548,tt0113490,0,0.41142399999999996,en,1995-09-14,6.7,3.0
90,9095,tt0117002,47000000,12.866139,en,1996-02-23,5.7,77.0
91,12158,tt0114825,14000000,9.071127,en,1995-10-26,4.5,113.0
92,9283,tt0115639,0,4.670562,en,1996-02-09,6.6,103.0
93,9208,tt0115759,50000000,14.957626000000001,en,1996-02-09,5.7,459.0
94,40154,tt0113403,0,0.5133909999999999,en,1995-12-01,7.5,6.0
95,406,tt0113247,3000000,12.108196000000001,fr,1995-05-31,7.9,695.0
96,45549,tt0111173,0,2.6576470000000003,en,1994-12-06,5.6,13.0
97,63076,tt0113283,0,0.638211,en,1995-12-27,6.8,4.0
98,11062,tt0115907,0,4.8072230000000005,en,1996-02-16,6.0,67.0
99,13685,tt0115734,7000000,6.904831,en,1996-02-21,6.8,285.0
100,47475,tt0117102,0,3.329264,en,1996-02-16,3.3,16.0
101,2045,tt0118040,18000000,2.464425,en,1996-02-23,5.3,22.0
102,9614,tt0116483,12000000,9.592265,en,1996-02-16,6.5,767.0
103,688,tt0112579,24000000,5.951077,en,1995-05-28,7.3,397.0
104,11907,tt0110251,0,1.015068,de,1994-11-07,5.1,5.0
105,10874,tt0117110,0,6.902423,en,1996-02-16,6.5,93.0
106,89333,tt0112646,0,0.976707,en,1995-12-08,7.0,2.0
107,96357,tt0113276,0,0.0013460000000000002,en,1995-05-20,0.0,0.0
108,197,tt0112573,72000000,20.755149,en,1995-05-24,7.7,3404.0
109,103,tt0075314,1300000,14.092713,en,1976-02-07,8.1,2632.0
110,33542,tt0113326,7500000,12.314278,cn,1995-01-30,6.5,245.0
111,43566,tt0115645,35000000,2.938293,en,1996-02-23,5.8,37.0
112,71754,tt0113774,0,0.372697,en,1995-09-13,7.5,2.0
113,43612,tt0112556,13365000,1.254885,en,1995-01-31,7.0,23.0
114,51352,tt0112373,0,0.243986,en,1995-06-08,7.3,4.0
115,16934,tt0115033,0,6.178497,en,1995-01-20,6.9,19.0
116,10324,tt0116606,0,2.891918,en,1996-03-08,5.4,11.0
117,78406,tt0114536,25000000,1.522412,en,1995-09-29,5.1,7.0
118,55731,tt0117427,0,1.317878,en,1996-03-22,5.2,21.0
119,32119,tt0106473,0,0.86539,en,1992-12-06,7.0,7.0
120,11066,tt0103859,40000000,6.506983,en,1992-06-30,5.4,139.0
121,11104,tt0109424,0,6.778979,cn,1994-07-14,7.9,249.0
122,37975,tt0114808,0,1.702639,it,1995-09-21,6.8,29.0
123,2074,tt0116324,7000000,5.579088,en,1996-03-22,6.3,66.0
124,27793,tt0110647,17000000,6.252377,en,1994-10-26,4.4,105.0
125,44284,tt0111055,0,0.406754,ar,1994-09-30,4.3,3.0
126,290157,tt0110217,0,0.001178,en,1995-01-01,0.0,0.0
127,110972,tt0114131,0,0.699066,en,1996-02-09,7.0,2.0
128,32622,tt0112364,0,2.197439,en,1995-01-01,5.6,9.0
129,73067,tt0113107,0,0.637554,it,1995-11-22,5.4,4.0
130,11863,tt0113451,50000000,11.418917,en,1995-10-13,5.1,45.0
131,55475,tt0114015,0,0.29102100000000003,es,1995-08-16,5.5,1.0
132,124636,tt0114500,0,0.001838,en,1995-08-01,0.0,0.0
133,9101,tt0116130,0,5.184977,en,1996-03-01,5.6,110.0
134,123360,tt0113125,0,0.276401,en,1995-09-08,6.5,2.0
135,5757,tt0113756,0,0.5404359999999999,en,1995-09-15,3.8,2.0
136,39428,tt0113952,0,0.370342,en,1995-08-23,7.2,5.0
137,124639,tt0114618,0,0.0012050000000000001,en,1995-08-01,0.0,0.0
138,9302,tt0118055,60000000,3.4027489999999996,en,1996-03-01,5.9,51.0
139,11000,tt0115685,31000000,6.499680000000001,en,1996-03-08,6.7,303.0
140,249882,tt0113200,0,0.9185040000000001,en,1995-10-12,7.0,2.0
141,16388,tt0112585,0,2.039196,en,1995-08-09,6.3,23.0
142,9737,tt0112442,19000000,9.262184,en,1995-04-07,6.5,1729.0
143,30765,tt0112342,0,2.375865,en,1995-08-25,5.0,31.0
144,10474,tt0112461,0,7.415144000000001,en,1995-04-21,7.2,472.0
145,22279,tt0112427,4000000,0.922958,en,1995-07-21,6.0,11.0
146,30157,tt0109093,0,1.7590119999999998,en,1994-08-05,6.5,21.0
147,568,tt0112384,52000000,18.761467,en,1995-06-30,7.3,1637.0
148,11780,tt0114287,28000000,10.193549,en,1995-04-13,6.5,151.0
149,34996,tt0112288,0,3.137285,en,1995-01-10,6.4,46.0
150,414,tt0112462,100000000,13.321354000000001,en,1995-06-16,5.2,1529.0
151,649,tt0061395,0,10.142662,fr,1967-05-24,7.3,163.0
152,1873,tt0112495,0,2.04189,en,1995-05-24,6.4,21.0
153,5894,tt0112541,2000000,11.528147,en,1995-09-15,6.8,28.0
154,1775,tt0109370,11000000,5.391556,en,1995-06-08,5.9,57.0
155,8839,tt0112642,50000000,12.812539,en,1995-05-26,6.0,1045.0
156,20649,tt0112688,25000000,4.558992,en,1995-09-15,6.8,69.0
157,10329,tt0112715,50000000,7.260574,en,1995-06-09,5.0,214.0
158,8963,tt0112740,53000000,8.657364999999999,en,1995-05-12,7.0,508.0
159,26564,tt0109508,0,3.6203879999999997,en,1994-09-10,7.6,71.0
160,8068,tt0112851,7000000,6.950458,en,1995-08-25,6.8,898.0
161,8512,tt0112857,27000000,4.646132,en,1995-09-15,6.3,88.0
162,1572,tt0112864,90000000,15.138855,en,1995-05-19,6.9,2094.0
163,13552,tt0112887,0,7.120806,en,1995-10-27,5.6,57.0
164,259209,tt0113044,0,0.523575,en,1995-10-12,0.0,0.0
165,6520,tt0113071,55000000,15.178338,en,1995-07-07,5.9,319.0
166,9073,tt0113114,0,7.575098,en,1995-07-19,5.5,130.0
167,10428,tt0113243,20000000,14.810519000000001,en,1995-09-14,6.2,406.0
168,17447,tt0113464,0,3.196456,en,1995-08-18,6.5,19.0
169,9886,tt0113481,25000000,11.715867999999999,en,1995-05-26,5.5,380.0
170,9482,tt0113492,90000000,8.184814999999999,en,1995-06-30,5.4,643.0
171,19326,tt0113500,0,3.676921,en,1995-04-12,4.0,34.0
172,9344,tt0113540,1500000,4.877872,en,1995-07-28,6.8,280.0
173,9071,tt0113677,500000,10.058328999999999,en,1995-01-20,7.2,64.0
174,8973,tt0113690,0,4.102409,en,1995-08-25,5.9,87.0
175,15730,tt0107447,0,0.354014,en,1993-05-20,7.0,7.0
176,47608,tt0113729,0,2.624771,en,1995-05-26,5.5,27.0
177,2293,tt0113749,6000000,8.255469999999999,en,1995-10-20,6.8,400.0
178,9070,tt0113820,15000000,7.024227000000001,en,1995-06-30,5.2,153.0
179,68274,tt0113851,0,1.01115,en,1995-09-29,5.6,10.0
180,48787,tt0110604,2,2.466066,en,1995-09-28,6.4,36.0
181,34574,tt0110620,0,7.720056,en,1994-09-13,5.9,12.0
182,1642,tt0113957,22000000,13.304342000000002,en,1995-07-28,5.6,359.0
183,11472,tt0113986,0,8.482834,en,1995-07-12,5.5,171.0
184,36196,tt0114095,150000,1.165039,en,1995-06-09,5.8,14.0
185,11980,tt0114194,8,10.187623,en,1995-09-01,6.4,139.0
186,58372,tt0114241,0,0.11971300000000001,en,1995-11-17,10.0,1.0
187,32646,tt0114323,0,8.180047,en,1995-06-23,7.2,62.0
188,10533,tt0114345,50000000,6.752119,en,1995-10-13,5.5,111.0
189,56088,tt0114435,0,0.15959600000000002,en,1995-08-25,5.3,2.0
190,10802,tt0114436,45000000,17.502375,en,1995-09-22,4.9,261.0
191,10149,tt0114478,7000000,5.5529459999999995,en,1995-06-09,7.2,115.0
192,18402,tt0114496,0,3.743212,en,1995-08-04,5.7,60.0
193,9348,tt0114508,35000000,13.492845,en,1995-07-07,5.5,457.0
194,139408,tt0114534,0,0.913522,en,1995-09-15,6.6,6.0
195,281,tt0114558,42000000,11.223055,en,1995-10-13,6.8,334.0
196,5967,tt0058450,0,8.133881,fr,1964-02-19,7.6,119.0
197,79593,tt0114666,14000000,1.8204189999999998,en,1995-09-08,4.6,9.0
198,47939,tt0114663,0,11.002046,en,1995-10-27,6.1,18.0
199,36834,tt0114702,0,4.546551999999999,en,1995-11-02,6.5,112.0
200,9090,tt0114682,0,7.653446000000001,en,1995-09-07,6.3,117.0
201,3512,tt0114781,60000000,7.490247,en,1995-07-13,5.6,217.0
202,52856,tt0114798,0,2.8816889999999997,en,1995-09-15,6.4,9.0
203,77350,tt0114805,0,0.7860229999999999,en,1995-08-11,6.0,6.0
204,9560,tt0114887,20000000,9.715639,en,1995-08-11,6.5,168.0
205,9804,tt0114898,175000000,16.885184,en,1995-07-28,5.9,1017.0
206,31611,tt0114928,8000000,1.8340990000000001,en,1995-12-01,5.1,25.0
207,65796,tt0114938,30000000,8.922139,en,1995-12-01,5.9,27.0
208,49805,tt0109340,0,3.727644,en,1994-10-12,6.0,11.0
209,26258,tt0112602,0,3.287036,en,1995-08-04,4.9,29.0
210,50797,tt0111579,2800000,2.4860729999999998,ru,1994-05-01,6.7,35.0
211,19155,tt0110882,0,3.5256489999999996,en,1994-06-09,7.7,45.0
212,76,tt0112471,2500000,11.304979,en,1995-01-27,7.7,984.0
213,11017,tt0112508,10000000,6.638116,en,1995-02-10,6.2,464.0
214,37141,tt0112438,0,2.761837,en,1995-10-17,4.7,27.0
215,9382,tt0112571,21000000,3.030309,en,1995-02-03,6.3,48.0
216,6715,tt0112757,0,2.686342,en,1995-04-21,7.2,58.0
217,18256,tt0112643,0,2.2697700000000003,en,1995-08-04,5.8,40.0
218,22625,tt0112679,0,2.605521,en,1995-03-16,6.5,30.0
219,2292,tt0109445,27000,10.513367,en,1994-09-13,7.4,769.0
220,1909,tt0112883,25000000,7.438934,en,1994-10-01,6.3,184.0
221,8984,tt0109635,55000000,11.812244,en,1994-12-09,5.9,217.0
222,61813,tt0112899,0,0.155859,en,1995-01-01,2.5,1.0
223,4954,tt0109676,45000000,9.579155,en,1994-12-08,5.1,91.0
224,62488,tt0112854,0,0.710671,it,1995-04-28,5.3,9.0
225,10531,tt0109579,0,5.484156,en,1994-05-04,7.1,92.0
226,11929,tt0109642,0,5.8025,en,1995-03-24,7.1,183.0
227,8467,tt0109686,16000000,9.844558000000001,en,1994-12-16,6.5,1894.0
228,10451,tt0111797,0,4.860016000000001,zh,1994-08-03,7.5,76.0
229,20156,tt0109759,0,5.378467,en,1994-09-24,6.5,64.0
230,18395,tt0109758,0,4.322726,en,1994-10-14,4.3,28.0
231,522,tt0109707,18000000,11.720358000000001,en,1994-09-27,7.3,639.0
232,397,tt0113117,0,9.146544,en,1995-05-05,6.2,179.0
233,10525,tt0113097,0,16.236745000000003,en,1995-05-19,6.1,38.0
234,27985,tt0113028,0,2.657337,en,1995-01-13,5.6,27.0
235,15789,tt0113198,0,10.177977,en,1995-04-07,6.7,404.0
236,27303,tt0113303,15000000,8.182165,en,1995-03-03,5.0,24.0
237,21183,tt0113089,0,4.953936,en,1995-06-02,6.6,48.0
238,10954,tt0109771,0,8.935058,fr,1994-12-07,5.9,20.0
239,47867,tt0113199,0,0.398924,en,1995-05-12,3.0,4.0
240,43475,tt0113234,0,0.090452,en,1995-12-01,5.0,2.0
241,72031,tt0109906,0,1.012197,en,1994-09-16,5.4,9.0
242,14275,tt0110057,700000,9.47666,en,1994-09-12,7.7,91.0
243,1024,tt0110005,5000000,9.438042,en,1994-09-02,6.9,299.0
244,17207,tt0110066,10500000,2.688562,en,1995-01-06,6.0,17.0
